RFC,1.00,0.98
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley,shapley_corr,infidelity
random,0.011945195719422002,0.84,0.042432468050656,0.5475,0.9871763122117271,0.019843502473399003,0.19478944747728102
brutekernelshap,0.079379175939225,0.84,0.385827700435311,0.47000000000000003,0.006366494937457,0.684167689839392,0.19111867779492
kernelshap,0.085036707105113,0.8200000000000001,0.47854367908059003,0.5025000000000001,0.016009746615882,0.6841676898969441,0.11439383745840201


