RFC,1.00,0.89
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley,shapley_corr,infidelity
random,0.034095710823305,0.8150000000000001,-0.001856605917194,0.5175000000000001,1.006234974815854,-0.023182595259009002,0.042430720936735
brutekernelshap,0.045921346324693,0.8200000000000001,0.704685616603519,0.42250000000000004,0.005508308080442,0.8742985638242281,0.05900769147616
kernelshap,0.07631881934849201,0.835,0.8047596208584711,0.42750000000000005,0.019385165878687,0.8742985637786961,0.005854879161036001


