RFC,1.00,0.94
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley,shapley_corr,infidelity
random,0.058998090650326004,0.8075,-0.005753141540566001,0.4325,1.000872622694115,-0.07347867140689701,0.264961350606357
brutekernelshap,0.161595847206203,0.7575000000000001,0.815656202048176,0.385,5.0558265114083674e-05,0.9990372204587381,0.22356115582377703
kernelshap,0.22883317536703202,0.735,0.9205107487565071,0.36,0.010211210471092,0.9990372204504421,0.21329161865176402


