RFC,1.00,0.99
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley,shapley_corr,infidelity
random,-0.028035666909711,0.795,0.066444225948389,0.535,0.9656614312425471,0.011723749820341,0.04291768257181
brutekernelshap,0.39612316722906304,0.795,0.9999927920414551,0.355,0.0022447943020470003,0.9934850753631301,0.029336034244535004
kernelshap,0.369999929800971,0.7775000000000001,0.9999986583006881,0.395,0.012164967432183002,0.9934850753579291,0.036022677082681004


