RFC,1.00,1.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley,shapley_corr,infidelity
random,0.010139390734904,0.8250000000000001,0.056428806190426006,0.6375000000000001,0.9597677714013311,-0.023886132295428002,0.12470725591119301
brutekernelshap,0.07998909853753701,0.8725,0.417086963588136,0.5725,0.033253505940836,0.529127945746363,0.024281384590977003
kernelshap,0.079993550909599,0.87,0.377311492905026,0.5575,0.043293560848861004,0.5291279456705621,0.05461013140512701


