RFC,1.00,0.86
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley,shapley_corr,infidelity
random,-0.042738635914425005,0.85,-0.005753238357212,0.5025000000000001,1.003054566172285,0.007135181091768,0.017518522370066
brutekernelshap,-0.08568706003651401,0.835,0.8289697693845091,0.47250000000000003,1.9206031083201733e-05,0.9996196485557041,0.034199977565579
kernelshap,0.009201797459944,0.8125,0.9379513984898121,0.4675,0.015844867383033,0.9996196485516281,0.027487439127564003


