RFC,1.00,1.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley,shapley_corr,infidelity
random,-0.024064751780386,0.775,0.066444225948389,0.5625,0.9945792709734921,0.05358004323658801,0.11719224709098801
brutekernelshap,0.49999682139080703,0.785,0.9999887962743661,0.405,3.206183946985488e-06,0.9999910080413851,0.08975337876193201
kernelshap,0.5099989790914681,0.75,0.99999718479328,0.41750000000000004,0.009963258992594001,0.9999910080415301,0.08802182165165301


