RFC,1.00,0.89
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley,shapley_corr,infidelity
random,-0.029367008489414002,0.86,0.009966350368705001,0.6675,0.9809071989160091,-0.028904519448779004,0.08150189689279101
brutekernelshap,0.001781569759221,0.86,0.132402592172837,0.6525000000000001,0.008011358262407,0.52197704553281,0.32271327269103
kernelshap,-0.008745147797891002,0.8525,0.163591820077286,0.6475000000000001,0.022411376348047,0.521977045157757,0.006423515967981


