RFC,1.00,0.99
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley,shapley_corr,infidelity
random,-0.004499012890487,0.8825000000000001,0.010751463830654001,0.6975,0.985435653537108,-0.020308212214382,0.16611445880806402
brutekernelshap,0.023456557701951,0.8875000000000001,0.073962341542481,0.7125,0.00393447630778,0.254062960125715,0.408910962289925
kernelshap,0.015679443742698,0.875,0.09104012190947801,0.6925,0.013499327314263001,0.254062959620696,0.064899721941562


