RFC,1.00,0.95
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley,shapley_corr,infidelity
random,-0.043886366648156004,0.775,0.062443628026335005,0.4675,1.013247359626855,-0.021388379439225003,0.064403153691312
brutekernelshap,0.11223812698654201,0.8125,0.725885008223584,0.395,0.0024019082051390003,0.9430567814915771,0.033602576405504
kernelshap,0.207623754914584,0.7675000000000001,0.8275184034303841,0.4425,0.012005920728643002,0.943056781554335,0.006748542774165001


