RFC,1.00,1.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley,shapley_corr,infidelity
random,-0.016984620755359,0.775,0.066444225948389,0.555,1.002895676401328,0.043910188207983,0.080383226957875
brutekernelshap,0.457505739200101,0.79,0.9996927271239651,0.41750000000000004,0.000526634578246,0.9982268339732041,0.032442356018642
kernelshap,0.449999742690713,0.7625000000000001,0.9998009483710941,0.4025,0.010647007610078,0.998226833971749,0.03662611150053


